row,col,ch,ro,co,koo,p,i,j,out,ref,diff,match
0,6,2,0,0,0,0,6,2,674116,674116,0,1
0,6,3,0,0,0,0,6,3,671341,671341,0,1
0,6,4,0,0,0,0,6,4,681975,681975,0,1
0,6,5,0,0,0,0,6,5,657446,657446,0,1
0,6,6,0,0,0,0,6,6,638336,638336,0,1
0,6,7,0,0,0,0,6,7,713234,713234,0,1
0,6,8,0,0,0,0,6,8,678145,678145,0,1
0,6,9,0,0,0,0,6,9,660085,660085,0,1
0,6,10,0,0,0,0,6,10,688093,688093,0,1
0,6,11,0,0,0,0,6,11,632326,632326,0,1
0,6,12,0,0,0,0,6,12,700234,700234,0,1
0,6,13,0,0,0,0,6,13,685612,685612,0,1
0,6,14,0,0,0,0,6,14,685869,685869,0,1
0,6,15,0,0,0,0,6,15,688976,688976,0,1
1,0,0,0,0,0,1,0,0,768909,768909,0,1
1,0,1,0,0,0,1,0,1,734342,734342,0,1
1,0,2,0,0,0,1,0,2,711991,711991,0,1
1,0,3,0,0,0,1,0,3,727066,727066,0,1
1,0,4,0,0,0,1,0,4,725531,725531,0,1
1,0,5,0,0,0,1,0,5,691616,691616,0,1
1,0,6,0,0,0,1,0,6,708779,708779,0,1
1,0,7,0,0,0,1,0,7,753304,753304,0,1
1,0,8,0,0,0,1,0,8,707241,707241,0,1
1,0,9,0,0,0,1,0,9,709319,709319,0,1
1,0,10,0,0,0,1,0,10,730110,730110,0,1
1,0,11,0,0,0,1,0,11,684791,684791,0,1
1,0,12,0,0,0,1,0,12,748169,748169,0,1
1,0,13,0,0,0,1,0,13,695373,695373,0,1
1,0,14,0,0,0,1,0,14,699354,699354,0,1
1,0,15,0,0,0,1,0,15,730526,730526,0,1
1,1,0,0,0,0,1,1,0,766293,766293,0,1
1,1,1,0,0,0,1,1,1,746688,746688,0,1
1,1,2,0,0,0,1,1,2,717272,717272,0,1
1,1,3,0,0,0,1,1,3,732056,732056,0,1
1,1,4,0,0,0,1,1,4,750953,750953,0,1
1,1,5,0,0,0,1,1,5,710525,710525,0,1
1,1,6,0,0,0,1,1,6,670930,670930,0,1
1,1,7,0,0,0,1,1,7,750661,750661,0,1
1,1,8,0,0,0,1,1,8,723755,723755,0,1
1,1,9,0,0,0,1,1,9,700262,700262,0,1
1,1,10,0,0,0,1,1,10,695682,695682,0,1
1,1,11,0,0,0,1,1,11,653953,653953,0,1
1,1,12,0,0,0,1,1,12,766269,766269,0,1
1,1,13,0,0,0,1,1,13,712491,712491,0,1
1,1,14,0,0,0,1,1,14,670297,670297,0,1
1,1,15,0,0,0,1,1,15,712678,712678,0,1
1,2,0,0,0,0,1,2,0,768884,768884,0,1
1,2,1,0,0,0,1,2,1,752388,752388,0,1
1,2,2,0,0,0,1,2,2,741116,741116,0,1
1,2,3,0,0,0,1,2,3,720872,720872,0,1
1,2,4,0,0,0,1,2,4,741815,741815,0,1
1,2,5,0,0,0,1,2,5,700955,700955,0,1
1,2,6,0,0,0,1,2,6,687051,687051,0,1
1,2,7,0,0,0,1,2,7,772461,772461,0,1
1,2,8,0,0,0,1,2,8,740417,740417,0,1
1,2,9,0,0,0,1,2,9,740364,740364,0,1
1,2,10,0,0,0,1,2,10,750686,750686,0,1
1,2,11,0,0,0,1,2,11,674828,674828,0,1
1,2,12,0,0,0,1,2,12,777381,777381,0,1
1,2,13,0,0,0,1,2,13,724526,724526,0,1
1,2,14,0,0,0,1,2,14,700013,700013,0,1
1,2,15,0,0,0,1,2,15,734937,734937,0,1
1,3,0,0,0,0,1,3,0,743452,743452,0,1
1,3,1,0,0,0,1,3,1,723018,723018,0,1
1,3,2,0,0,0,1,3,2,699840,699840,0,1
1,3,3,0,0,0,1,3,3,712260,712260,0,1
1,3,4,0,0,0,1,3,4,740600,740600,0,1
1,3,5,0,0,0,1,3,5,706999,706999,0,1
1,3,6,0,0,0,1,3,6,698382,698382,0,1
1,3,7,0,0,0,1,3,7,743541,743541,0,1
1,3,8,0,0,0,1,3,8,722020,722020,0,1
1,3,9,0,0,0,1,3,9,703113,703113,0,1
1,3,10,0,0,0,1,3,10,748743,748743,0,1
1,3,11,0,0,0,1,3,11,686207,686207,0,1
1,3,12,0,0,0,1,3,12,747331,747331,0,1
1,3,13,0,0,0,1,3,13,700599,700599,0,1
1,3,14,0,0,0,1,3,14,695958,695958,0,1
1,3,15,0,0,0,1,3,15,708472,708472,0,1
1,4,0,0,0,0,1,4,0,785346,785346,0,1
1,4,1,0,0,0,1,4,1,753936,753936,0,1
1,4,2,0,0,0,1,4,2,747706,747706,0,1
1,4,3,0,0,0,1,4,3,731742,731742,0,1
1,4,4,0,0,0,1,4,4,744497,744497,0,1
1,4,5,0,0,0,1,4,5,731174,731174,0,1
1,4,6,0,0,0,1,4,6,691141,691141,0,1
1,4,7,0,0,0,1,4,7,771496,771496,0,1
1,4,8,0,0,0,1,4,8,740132,740132,0,1
1,4,9,0,0,0,1,4,9,709088,709088,0,1
